,매장이름
0,['미국 십대가 본 SNS\xa0서비스']
1,['회사에서 쓰는 전동 높이조절 스탠딩\xa0데스크']
2,['풋내기 창업자의 스타트업 창업하기_3화 예비창업자 사전보증 제도\xa0활용하기']
3,"['전 직원 법인카드, 공개,\xa0성공적']"
4,['풋내기 창업자의 스타트업 창업하기_1화 법인등록 관련 세금 할인\xa0받기']
5,['풋내기 창업자의 스타트업 창업하기_2화 스타트업을 하는\xa0이유']
6,['Uber for X 회사들이 왜\xa0실패하는가?']
7,"['현존하는 아이언맨, Elon Musk의\xa0생애']"
8,['미국인이 말하는 채팅앱의\xa0가능성']
9,['Mobile.. 아직 기회는\xa0많다']
10,['AWS Lambda를 이용한 이미지 썸네일 생성 개발\xa0후기']
11,['풋내기 창업자의 스타트업 창업하기_4화 초기유저 1000명\xa0만들기']
12,['풋내기 창업자의 스타트업 창업하기_5화 페북 광고..돈을 써봐야만 알 수 있는\xa0것들']
13,['Mac에서 원격서버 접속시 Locale 설정\xa0문제']
14,['당근마켓에서 딥러닝\xa0활용하기']
15,['풋내기 창업자의 스타트업 창업하기_6화 마케터에게 휴식을 주는 페북광고 자동규칙\xa0기능']
16,['쫄지말고 투자 250회에 나온\xa0당근마켓']
17,"['스타트업, 더 좋은 문서도구가 필요해요! Notion을\xa0만나다.']"
18,['스타트업의 업무용 컴퓨터\xa0선택하기']
19,['풋내기 창업자의 스타트업 창업하기 7화_스톡옵션 행사와\xa0세금']
20,['풋내기 창업자의 스타트업 창업하기 8화_기획자 없이\xa0기획하기']
21,['이미지 탐지기 쉽게\xa0구현하기']
22,['당근이']
23,['스타트업에서 전화응대 고객센터 간단히\xa0구축하기']
24,['풋내기 창업자의 스타트업 창업하기 9화_성장 플라이휠\xa0만들기']
25,['이미지만으로 내 중고물품의 카테고리를 분류해준면? (feat.\xa0Keras)']
26,['당신의 기억에 오래 남고 싶어요\u200a—\u200a당근마켓 네이밍\xa0이야기']
27,['구글이 직원들로부터 배운 놀라운 사실 -그것이 오늘날 학생들에게 던지는\xa0시사점']
28,['🔥PyTorch Multi-GPU 학습 제대로\xa0하기']
29,['딥러닝으로 동네생활 게시글\xa0필터링하기']
30,['딥러닝 개인화\xa0추천']
31,['AWS Lambda@Edge에서 실시간 이미지 리사이즈 & WebP 형식으로\xa0변환']
32,['더 작은 APK를 위한 Android App Bundle에 대해서\xa0🐷']
33,['딥러닝 추천 시스템 in production']
34,"['Support Library, AndroidX 그리고 Jetifier 항해기\xa0👩🏻\u200d🚀']"
35,['글쓰기 카테고리 추천모델\xa0개발하기']
36,['구글 애널리틱스 A/B 테스트 쉽게 하기(쿠키 + dimension 활용)\xa0🐿']
37,['서비스 중단없이 루비 버전 2.6 업그레이드\xa0하기']
38,['당근마켓의 푸시알림을 지탱하고 있는 Node.js\xa0서비스']
39,['TypeScript를 활용한\xa0서비스개발']
40,['deploy 브랜치 전략 활용\xa0방법']
41,['Kubeflow 파이프라인\xa0운용하기']
42,['유연하고 테스트 가능한 Go 코드\xa0작성하기']
43,['풋내기 창업자의 스타트업 창업하기 11화\u200a—\u200a해외시장\xa0진출']
44,['왜 우리는 Go와 TypeScript를 선택했는가']
45,['안심번호 마이크로서비스\xa0개발하기']
46,['시작하며']
47,['주소 인식을 위한 삽질의\xa0기록']
48,['이미지 분류 모델 AutoML\xa0파이프라인']
49,['DynamoDB 데이터 변경 이벤트 파이프라인 구축하기 (feat.\xa0Kinesis)']
50,['당근런치를 만들어봤어요.']
51,['당근마켓 팀과 데이터\xa0분석']
52,['풋내기 창업자의 스타트업 창업하기\xa012화_채용하기']
53,['당근마켓 AI의 데이터 활용\xa0방법']
54,['사용자와 함께하는 당근마켓 마케팅\xa0이야기']
55,['당근마켓) XcodeGen 에서 Tuist 로\xa0전환하기']
56,['당근마켓 개발자들']
57,['모듈화하고 Needle\xa0적용해보기']
58,['네이티브 개발자와 함께하는 피드 서비스\xa0설계하기']
59,['직관만 믿고 까불었다가 망한 PM의\xa0사연']
60,['1주 1개 실험하는 프로덕트 팀이 되는\xa0여정']
61,['당근마켓에 웹 프로젝트 배포하기 #1\u200a—\u200a파일 기반\xa0웹뷰']
62,['스타트업의 업무용 장비 선택하기\xa0v2']
63,['JSON vs\xa0TEXT']
64,['MySQL Gap Lock\xa0다시보기']
65,['당근마켓 ‘매너온도’ 글로벌 수출기 (1)- 사용자조사로 유저의 목소리\xa0듣기']
66,['데이터 가치화 팀의 일상을\xa0만나봐요!']
67,['예측 가능한 대규모 서비스\xa0개발하기']
68,['머신러닝 모델로 동네생활 신고 업무\xa0자동화하기']
69,['당근마켓 송년회 이렇게까지 합니다\xa0😎']
